,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees,car_name2
127,Hyundai Venue S 1.0 Petrol [2019-2020],17844,1,7,2019,9.55,304
128,Honda City SV,21000,1,0,2019,8.75,164
129,Tata Indica LS,60000,0,14,2017,2.5,807
130,Maruti Suzuki Celerio VXi AMT,34530,1,13,2016,4.5,527
131,Honda CR-V 2.4 AT,117192,1,6,2014,14,154
132,Honda Jazz VX Diesel,54000,0,13,2016,5.95,195
133,Nissan Terrano XL (P),38999,1,2,2016,6.79,716
134,Volkswagen Ameo Highline Plus 1.5L AT (D)16 Alloy,58549,0,3,2017,6.6,905
135,Hyundai Elite i20 Sportz 1.2 [2016-2017],41055,1,4,2019,6.87,256
136,Renault Kwid 1.0 RXT [2016-2019],53728,1,4,2018,3.04,744
137,Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],42141,1,2,2017,5.29,284
138,Tata Tiago JTP 1.2 [2018-2019],63130,1,4,2018,4.16,836
139,Maruti Suzuki Alto K10 VXi [2014-2019],53912,1,3,2016,3.01,507
140,Tata Nexon XMA Diesel,20678,0,13,2019,9.41,815
141,Tata Safari XTA Plus,4259,0,2,2022,23.75,828
142,Honda Jazz E MT [2015-2016],48866,1,0,2016,4.9,185
143,Renault Kwid RXT [2015-2019],32954,1,4,2018,3.31,754
144,Maruti Suzuki Wagon R 1.0 VXi,37000,1,8,2012,2.35,651
145,Mahindra XUV500 W11 AT,85000,0,0,2018,13.9,481
146,Audi A3 35 TDI Premium + Sunroof,36627,0,2,2016,24.75,0
147,Volkswagen Polo GT TSI,62690,1,2,2018,9.25,914
148,Toyota Innova Crysta GX 2.4 7 STR,12039,0,0,2020,21.5,891
149,Honda City VX CVT Petrol,26230,1,4,2020,12.04,174
150,Hyundai Santro Sportz AMT,19156,1,12,2020,5.57,293
151,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,18350,1,7,2020,5.79,279
152,Hyundai Elite i20 Magna Executive 1.2,44053,1,12,2018,5.54,252
153,Hyundai i10 1.1L iRDE Magna Special Edition,69000,1,0,2014,3.4,337
154,Kia Seltos GTX 1.4 Dual Tone,51605,1,12,2019,16.2,390
155,BMW 5 Series 520d Sedan,40000,0,0,2017,43,55
156,Tata Harrier XZ Plus Dual Tone,35438,0,13,2020,18.95,800
